x_in, p_psi
0.897695, 0.702332
2.65658, 0.702332
4.2362, 0.702332
5.54705, 0.702332
6.628, 0.702332
7.51936, 0.702332
8.2544, 0.702332
8.86052, 0.702332
9.36033, 0.702332
9.77249, 0.702332
10.1124, 0.702332
10.3926, 0.702332
10.6237, 0.702332
10.8143, 0.702332
10.9715, 0.702332
11.101, 0.702332
11.2079, 0.702332
11.296, 0.702332
11.3687, 0.702332
11.4315, 0.702332
11.4913, 0.702332
11.5512, 0.702332
11.611, 0.702332
11.6708, 0.702332
11.7307, 0.702332
11.7905, 0.702332
11.8504, 0.702332
11.9102, 0.702332
11.9701, 0.702326
12.0285, 0.44997
12.0856, 0.300595
12.1427, 0.220955
12.1998, 0.189263
12.2569, 0.178926
12.314, 0.168948
12.3711, 0.177457
12.4282, 0.179147
12.4853, 0.206513
12.5424, 0.219621
12.6016, 0.22649
12.6692, 0.229494
12.7509, 0.238432
12.8498, 0.231203
12.9694, 0.233917
13.114, 0.234161
13.2891, 0.233489
13.5009, 0.232953
13.7571, 0.232371
14.067, 0.231938
14.442, 0.231214
14.8957, 0.230981
15.4446, 0.231125
16.1086, 0.230604
16.912, 0.230073
17.8839, 0.230701
19.0598, 0.230425
20.4824, 0.230162
22.1177, 0.230665
23.8306, 0.230511
25.5435, 0.23139
