Step, Residual_VM
0, 2.5325e+06
1, 2.1565e+06
2, 2.12246e+06
3, 2.09025e+06
4, 2.06054e+06
5, 2.03336e+06
6, 2.00792e+06
7, 1.98413e+06
8, 1.95806e+06
9, 1.93005e+06
10, 1.89854e+06
11, 1.85994e+06
12, 1.81738e+06
13, 1.77185e+06
14, 1.72379e+06
15, 1.67368e+06
16, 1.62187e+06
17, 1.56797e+06
18, 1.51265e+06
19, 1.45788e+06
20, 1.40632e+06
21, 1.34418e+06
22, 1.27405e+06
23, 1.19954e+06
24, 1.121e+06
25, 1.03703e+06
26, 947657
27, 780261
28, 623619
29, 486176
30, 358047
31, 251222
32, 175075
33, 114498
34, 83373.4
35, 179900
36, 62205.5
37, 37571.5
38, 34584.6
39, 21957.7
40, 17329.4
41, 13194.7
42, 10146.8
43, 7358.08
44, 5766.57
45, 10763.6
46, 3295.41
47, 2419.19
48, 1673.31
49, 959.212
50, 421.129
51, 132.697
52, 47.5925
53, 19.409
54, 5.79037
55, 1.20234
56, 0.16925
57, 0.0156764
58, 0.00168234
59, 0.000125834
60, 5.8109e-06
61, 2.94093e-07
