y,u,v,eta
9.83955e-06,0.00513823,2.44228e-07,0.0144369
3.09945e-05,0.0161845,1.51567e-06,0.0454762
5.53227e-05,0.0288857,3.6039e-06,0.0811715
8.33004e-05,0.0434879,7.01879e-06,0.122221
0.000115475,0.0602722,1.22932e-05,0.169429
0.000152475,0.079559,2.01423e-05,0.223717
0.000195025,0.101711,3.1534e-05,0.286148
0.000243958,0.127137,4.77576e-05,0.357944
0.000300231,0.156292,7.05355e-05,0.440509
0.000364944,0.189671,0.000102128,0.535459
0.000439365,0.2278,0.000145485,0.644652
0.000524949,0.27121,0.000204352,0.770224
0.00062337,0.320387,0.000283368,0.914631
0.000736555,0.375696,0.000387957,1.0807
0.000866717,0.437246,0.000523926,1.27168
0.0010164,0.504704,0.000696384,1.4913
0.00118854,0.577051,0.000907702,1.74387
0.0013865,0.652332,0.0011542,2.03433
0.00161416,0.727511,0.00142216,2.36835
0.00187596,0.798628,0.00168516,2.75248
0.00217703,0.86142,0.0019071,3.19422
0.00252327,0.912383,0.00205524,3.70223
0.00292143,0.949856,0.00211925,4.28643
0.00337933,0.974502,0.00211912,4.95827
0.00390591,0.988853,0.00209071,5.73089
0.00451147,0.996196,0.00206261,6.61939
0.00520787,0.999483,0.00204549,7.64117
0.00600873,1.00077,0.00203749,8.81622
0.00692972,1.00121,0.00203373,10.1675
0.00798885,1.00135,0.00203106,11.7215
0.00920686,1.00138,0.0020282,13.5086
0.0106076,1.00138,0.0020248,15.5638
0.0122184,1.00136,0.00202074,17.9272
0.0140708,1.00133,0.00201596,20.6452
0.0162011,1.00131,0.00201036,23.7709
0.018651,1.00129,0.00200387,27.3654
0.0214683,1.00128,0.00199636,31.499
0.0247082,1.0013,0.0019877,36.2527
0.0284341,1.00134,0.00197771,41.7195
0.0327189,1.0014,0.00196615,48.0063
0.0376464,1.00149,0.00195272,55.2361
0.043313,1.00159,0.00193702,63.5504
0.0498297,1.0017,0.00191857,73.1119
0.0573238,1.00182,0.00189676,84.1075
0.065942,1.00192,0.0018709,96.7525
0.075853,1.00201,0.00184015,111.294
0.0872506,1.00207,0.00180356,128.017
0.100358,1.00211,0.00176003,147.249
0.115431,1.00212,0.00170831,169.365
0.132766,1.0021,0.00164696,194.798
0.1527,1.00205,0.00157434,224.047
0.175625,1.00199,0.00148866,257.683
0.201988,1.0019,0.00138798,296.364
0.232306,1.00181,0.00127021,340.848
0.267172,1.0017,0.00113321,392.004
0.307267,1.00158,0.000974746,450.833
0.353377,1.00147,0.000792392,518.487
0.406403,1.00134,0.000583732,596.289
0.467383,1.00138,0.000321379,685.761
