x,Cf,Cf_theory
0.000141323,0.00064968,0.00910894
0.000423968,0.000702972,0.00525905
0.000706614,0.000702676,0.00407364
0.000989259,0.000763631,0.00344286
0.00127191,0.00078077,0.00303631
0.00155455,0.000963829,0.00274645
0.0018372,0.000460497,0.00252637
0.00211984,0.000675391,0.00235192
0.00240249,0.000505965,0.00220924
0.00268513,0.000729977,0.00208974
0.00296778,0.000484009,0.00198773
0.00325042,0.000650653,0.00189935
0.00353307,0.000516066,0.00182179
0.00381572,0.00044117,0.00175302
0.00409836,0.000599467,0.00169149
0.00438101,0.000761995,0.00163601
0.00466365,0.000547202,0.00158566
0.0049463,0.000749451,0.00153969
0.00522894,0.000551422,0.0014975
0.00551159,0.000671307,0.0014586
0.00579423,0.000627331,0.00142258
0.00607688,0.000528674,0.0013891
0.00635953,0.000711633,0.00135788
0.00664217,0.00052706,0.00132868
0.00692482,0.00073627,0.00130128
0.00720746,0.000575628,0.00127551
0.00749011,0.000791137,0.00125121
0.00777275,0.000574887,0.00122825
0.0080554,0.000735352,0.00120651
0.00833804,0.0005303,0.00118588
0.00862069,0.000706152,0.00116628
0.00890334,0.000489358,0.00114762
0.00918598,0.000464416,0.00112983
0.00946863,0.000662629,0.00111283
0.00975127,0.000495321,0.00109659
0.0100339,0.000627807,0.00108103
0.0103166,0.000482686,0.00106612
0.0105992,0.000601853,0.00105181
0.0108819,0.000716966,0.00103806
0.0111645,0.000556342,0.00102484
0.0114471,0.000725844,0.0010121
0.0117298,0.000575244,0.000999837
0.0120124,0.000778307,0.000988004
0.0122951,0.00054084,0.000976581
0.0125777,0.000636225,0.000965546
0.0128604,0.000463116,0.000954877
0.013143,0.000615283,0.000944554
0.0134257,0.000819376,0.000934558
0.0137083,0.000615833,0.000924873
0.013991,0.000810703,0.000915483
0.0142736,0.000537654,0.000906374
0.0145562,0.00074999,0.000897531
0.0148389,0.000730577,0.000888942
0.0151215,0.000614277,0.000880595
0.0154042,0.000631937,0.000872479
0.0156868,0.000630099,0.000864583
