Step, Residual_VM
0, 25577.9
1, 37918.8
2, 61535.6
3, 87702.7
4, 114634
5, 141836
6, 168733
7, 195472
8, 236055
9, 295920
10, 382820
11, 500798
12, 646624
13, 797928
14, 919094
15, 949267
16, 893345
17, 788222
18, 664446
19, 528670
20, 478261
21, 438116
22, 380805
23, 339481
24, 295915
25, 265729
26, 235254
27, 220371
28, 208460
29, 192746
30, 173605
31, 164192
32, 156551
33, 146583
34, 139409
35, 130469
36, 127085
37, 123324
38, 117396
39, 108791
40, 106457
41, 103424
42, 97941.4
43, 94632.9
44, 89405.9
45, 87960.5
46, 86006.1
47, 82408.3
48, 76990.6
49, 75496.1
50, 73501.4
51, 70210.8
52, 68733
53, 67533.8
54, 65199.2
55, 61646.6
56, 60344
57, 59060.4
58, 56958.5
59, 55120.7
60, 53116
61, 51855.5
62, 51100.7
63, 49721.7
64, 47421
65, 46180.1
66, 45536.1
67, 44326.7
68, 43049.5
69, 41865.6
70, 40999.3
71, 40430.3
72, 39627.3
73, 38213
74, 37232.6
75, 36982
76, 36004.4
77, 35026.7
78, 34094.6
79, 33404.8
80, 32976.9
81, 32209.2
82, 31391.4
83, 30590
84, 30190.6
85, 29738.2
86, 29147
87, 28133.1
88, 27594.9
89, 27269.3
90, 26652.3
91, 26341
92, 25999.8
93, 25558.1
94, 24810.6
95, 24383.7
96, 24118.3
97, 23594.6
98, 23334.3
99, 22991.5
100, 22617.2
101, 22155.4
102, 21725.7
103, 21532.9
104, 21247.6
105, 20900.9
106, 20361.4
107, 20088.3
108, 19933.4
109, 19570.9
110, 19329.5
111, 19196.9
112, 18943
113, 18687.7
114, 18404.3
115, 18181.1
116, 18054.3
117, 17794.6
118, 17384.7
119, 17120
120, 17012.2
121, 16702.9
122, 16549
123, 16401
124, 16219.2
125, 15986.9
126, 15812.6
127, 15593.5
128, 15358
129, 15121.5
130, 14901.4
131, 14735.5
132, 14603.7
133, 14377.8
134, 14189.5
135, 14168.1
136, 13975.8
137, 13833.6
138, 13682.7
139, 13520
140, 13358.1
141, 13170.4
142, 12995
143, 12879.9
144, 12756.9
145, 12598.1
146, 12433.6
147, 12412.8
148, 12257.8
149, 12077.5
150, 11922.7
151, 11927.8
152, 11770.3
153, 11669
154, 11623.7
155, 11485.3
156, 11289.4
157, 11143.5
158, 11097.6
159, 10945.7
160, 10869.9
161, 10787
162, 10699.6
163, 10582.9
164, 10497.2
165, 10390.7
166, 10370.3
167, 10254.5
168, 10161
169, 10047.2
170, 9931.27
171, 9826.46
172, 9746.66
173, 9706.08
174, 9629.4
175, 9548.03
176, 9467.66
177, 9417.25
178, 9359.22
179, 9273.94
180, 9135.03
181, 9014.83
182, 9013.96
183, 8889.36
184, 8859.61
185, 8794.51
186, 8740.05
187, 8663.3
188, 8664.95
189, 8593.53
190, 8502.48
191, 8423.06
192, 8394.35
193, 8292.91
194, 8218.74
195, 8143.21
196, 8122.82
197, 8067.21
198, 8016.57
199, 7954.13
200, 7881.13
201, 7830.08
202, 7802.33
203, 7730.7
204, 7712.22
205, 7658.08
206, 7608.54
207, 7547.36
208, 7490.84
209, 7473.38
210, 7423.67
211, 7375.47
212, 7296.82
213, 7282.93
214, 7232.86
215, 7172.85
216, 7116.78
217, 7060.31
218, 7019.33
219, 7009.22
220, 6958.27
221, 6904.56
222, 6858.79
223, 6835.89
224, 6766.49
225, 6746.41
226, 6687.62
227, 6663.16
228, 6605.2
229, 6560.78
230, 6523.2
231, 6470.46
232, 6440.23
233, 6414.99
234, 6364.43
235, 6318.77
236, 6265.89
237, 6240.48
238, 6215.93
239, 6182.36
240, 6145.61
241, 6102.23
242, 6072.81
243, 6064.1
244, 6017
245, 5982.5
246, 5945.19
247, 5909.39
248, 5857.89
249, 5822.03
250, 5826.62
251, 5784.24
252, 5754.98
253, 5709.54
254, 5700.84
255, 5675.81
256, 5632.02
257, 5591.84
258, 5555.01
259, 5540.29
260, 5493.53
261, 5489.38
262, 5446.81
263, 5423.83
264, 5397.17
265, 5355.76
266, 5321.91
267, 5316.23
268, 5288.09
269, 5272.33
270, 5228.09
271, 5205.16
272, 5205.4
273, 5171.58
274, 5134.12
275, 5101.4
276, 5084.04
277, 5050.18
278, 5041.86
279, 5015.6
280, 4992.26
281, 4974.93
282, 4939.54
283, 4918.3
284, 4882.08
285, 4851.75
286, 4849.68
287, 4820.92
288, 4797.8
289, 4766.17
290, 4744.33
291, 4739.52
292, 4708.58
293, 4693.84
294, 4659.9
295, 4649.38
296, 4636.79
297, 4610.27
298, 4582.29
299, 4562.08
300, 4545.86
301, 4513.45
302, 4492.53
303, 4454.25
304, 4457.97
305, 4435.66
306, 4408.57
307, 4384.59
308, 4356.75
309, 4350.24
310, 4334.88
311, 4304.99
312, 4289.94
313, 4260.26
314, 4246.57
315, 4237.15
316, 4215.38
317, 4204.4
318, 4172.02
319, 4161.78
320, 4154.65
321, 4135.48
322, 4126.43
323, 4097.61
324, 4074.21
325, 4081.31
326, 4059.24
327, 4030.88
328, 4018.37
329, 4005.55
330, 3984.58
331, 3966.64
332, 3960.04
333, 3943.96
334, 3936.08
335, 3910.56
336, 3890.23
337, 3893.83
338, 3873.35
339, 3848.36
340, 3839.4
341, 3822.16
342, 3804.53
343, 3790.66
344, 3783.62
345, 3767.54
346, 3760.19
347, 3737.44
348, 3717.73
349, 3720.23
350, 3700.47
351, 3696.39
352, 3671.77
353, 3654.29
354, 3659.2
355, 3641.62
356, 3620.96
357, 3613.31
358, 3596.87
359, 3584.43
360, 3566.58
361, 3548.9
362, 3538.82
363, 3532.9
364, 3510.12
365, 3503.1
366, 3486.71
367, 3467.64
368, 3466.55
369, 3451.2
370, 3449.63
371, 3420.2
372, 3411.41
373, 3408.88
374, 3395.41
375, 3374.97
376, 3363.95
377, 3353.2
378, 3337.2
379, 3319.53
380, 3307.24
381, 3298.07
382, 3289.67
383, 3268.35
384, 3263.31
385, 3239.72
386, 3236.44
387, 3227.55
388, 3216.37
389, 3202.12
390, 3200.78
391, 3185.56
392, 3174.14
393, 3161.81
394, 3152.86
395, 3138.83
396, 3134.85
397, 3124.77
398, 3111.03
399, 3107.1
400, 3093.41
401, 3078
402, 3078.23
403, 3065.27
404, 3054.43
405, 3043.78
406, 3033.12
407, 3021.1
408, 3013.67
409, 3006.66
410, 2992.37
411, 2984.2
412, 2968.95
413, 2964.39
414, 2946.47
415, 2952.11
416, 2933.65
417, 2922.59
418, 2914.51
419, 2897.81
420, 2889.36
421, 2874.2
422, 2877.87
423, 2857.49
424, 2853.08
425, 2844.89
426, 2825.8
427, 2823.95
428, 2813.6
429, 2806.97
430, 2791.46
431, 2780.92
432, 2777.41
433, 2758.72
434, 2751.24
435, 2747.84
436, 2737.05
437, 2730.25
438, 2724.96
439, 2715.15
440, 2712.94
441, 2700.02
442, 2687.86
443, 2691.33
444, 2680.21
445, 2666.93
446, 2664.04
447, 2652.93
448, 2645.68
449, 2638.76
450, 2623.29
451, 2618.38
452, 2615.46
453, 2603.36
454, 2599.73
455, 2584.86
456, 2576.23
457, 2576.1
458, 2566.03
459, 2562.89
460, 2547.73
461, 2539.11
462, 2540.45
463, 2532.07
464, 2528.71
465, 2515.93
466, 2502.42
467, 2510.96
468, 2498.98
469, 2487.81
470, 2479.78
471, 2475.31
472, 2466.2
473, 2458.66
474, 2447.38
475, 2442.21
476, 2438.2
477, 2429.37
478, 2426.12
479, 2409.97
480, 2405.45
481, 2404.02
482, 2396.1
483, 2391.03
484, 2377.99
485, 2370.89
486, 2373.5
487, 2362.54
488, 2359.06
489, 2350.23
490, 2340.31
491, 2343.74
492, 2331.73
493, 2323.7
494, 2319.93
495, 2310.39
496, 2303.33
497, 2299.9
498, 2284.21
499, 2284.52
500, 2279.22
501, 2271.78
502, 2264.06
503, 2254.19
504, 2250.1
505, 2246.44
506, 2237.43
507, 2235.23
508, 2226.13
509, 2218.67
510, 2216.51
511, 2210.11
512, 2209.06
513, 2197.34
514, 2187.55
515, 2191.77
516, 2184.18
517, 2172.79
518, 2169.94
519, 2163.53
520, 2156.07
521, 2150.81
522, 2147.46
523, 2142.78
524, 2139.43
525, 2128.67
526, 2123.52
527, 2124.59
528, 2115.04
529, 2113
530, 2106.82
531, 2097.6
532, 2099.72
533, 2091.77
534, 2084.92
535, 2079.37
536, 2074.58
537, 2068.41
538, 2064.21
539, 2062.26
540, 2054.65
541, 2054
542, 2045.13
543, 2037.24
544, 2039.16
545, 2032.75
546, 2030.85
547, 2022.6
548, 2015.21
549, 2019.86
550, 2010.85
551, 2003.12
552, 2000.47
553, 1995.02
554, 1988.79
555, 1986.31
556, 1977.95
557, 1969.85
558, 1971.6
559, 1964.41
560, 1963.05
561, 1951.94
562, 1948.41
563, 1948.36
564, 1942.11
565, 1934.4
566, 1930.28
567, 1925.85
568, 1916.21
569, 1916.54
570, 1911.31
571, 1906.84
572, 1902.76
573, 1895.46
574, 1892.49
575, 1891.01
576, 1882.66
577, 1882.61
578, 1875.5
579, 1868.68
580, 1868.42
581, 1864.45
582, 1863.41
583, 1854.29
584, 1846.87
585, 1851.1
586, 1846.21
587, 1837.33
588, 1833.9
589, 1830.66
590, 1825.52
591, 1820.61
592, 1814.61
593, 1810.62
594, 1808.87
595, 1801.57
596, 1801.37
597, 1792.17
598, 1788.62
599, 1786.68
600, 1783.31
601, 1781.22
602, 1772.72
603, 1766.86
